tag,step,value
rollout/ep_len_mean,2048,123.57142639160156
rollout/ep_len_mean,4096,164.4166717529297
rollout/ep_len_mean,6144,204.8275909423828
rollout/ep_len_mean,8192,203.73684692382812
rollout/ep_len_mean,10240,210.06382751464844
rollout/ep_len_mean,12288,225.59259033203125
rollout/ep_len_mean,14336,238.4166717529297
rollout/ep_len_mean,16384,226.31944274902344
rollout/ep_len_mean,18432,216.88095092773438
rollout/ep_len_mean,20480,210.9042510986328
rollout/ep_len_mean,22528,220.60000610351562
rollout/ep_len_mean,24576,227.25999450683594
rollout/ep_len_mean,26624,225.60000610351562
rollout/ep_len_mean,28672,217.36000061035156
rollout/ep_len_mean,30720,208.4499969482422
rollout/ep_len_mean,32768,186.36000061035156
rollout/ep_len_mean,34816,190.33999633789062
rollout/ep_len_mean,36864,198.5399932861328
rollout/ep_len_mean,38912,203.16000366210938
rollout/ep_len_mean,40960,201.00999450683594
rollout/ep_len_mean,43008,197.5
rollout/ep_len_mean,45056,205.67999267578125
rollout/ep_len_mean,47104,209.3300018310547
rollout/ep_len_mean,49152,222.3800048828125
rollout/ep_len_mean,51200,223.24000549316406
rollout/ep_len_mean,53248,234.97999572753906
rollout/ep_len_mean,55296,253.3800048828125
rollout/ep_len_mean,57344,255.52000427246094
rollout/ep_len_mean,59392,255.63999938964844
rollout/ep_len_mean,61440,261.8599853515625
rollout/ep_len_mean,63488,263.5899963378906
rollout/ep_len_mean,65536,261.2300109863281
rollout/ep_len_mean,67584,266.2699890136719
rollout/ep_len_mean,69632,262.8599853515625
rollout/ep_len_mean,71680,228.24000549316406
rollout/ep_len_mean,73728,219.3300018310547
rollout/ep_len_mean,75776,208.80999755859375
rollout/ep_len_mean,77824,212.3300018310547
rollout/ep_len_mean,79872,210.52999877929688
rollout/ep_len_mean,81920,210.2899932861328
rollout/ep_len_mean,83968,218.17999267578125
rollout/ep_len_mean,86016,220.91000366210938
rollout/ep_len_mean,88064,222.14999389648438
rollout/ep_len_mean,90112,224.8800048828125
rollout/ep_len_mean,92160,234.55999755859375
rollout/ep_len_mean,94208,234.67999267578125
rollout/ep_len_mean,96256,248.72000122070312
rollout/ep_len_mean,98304,255.50999450683594
rollout/ep_len_mean,100352,251.10000610351562
rollout/ep_len_mean,102400,257.6300048828125
rollout/ep_len_mean,104448,254.57000732421875
rollout/ep_len_mean,106496,256.5899963378906
rollout/ep_len_mean,108544,249.82000732421875
rollout/ep_len_mean,110592,237.38999938964844
rollout/ep_len_mean,112640,221.74000549316406
rollout/ep_len_mean,114688,202.5399932861328
rollout/ep_len_mean,116736,203.1999969482422
rollout/ep_len_mean,118784,200.5800018310547
rollout/ep_len_mean,120832,196.19000244140625
rollout/ep_len_mean,122880,197.88999938964844
rollout/ep_len_mean,124928,175.17999267578125
rollout/ep_len_mean,126976,179.4199981689453
rollout/ep_len_mean,129024,192.3300018310547
rollout/ep_len_mean,131072,195.36000061035156
rollout/ep_len_mean,133120,201.4499969482422
rollout/ep_len_mean,135168,177.0800018310547
rollout/ep_len_mean,137216,170.30999755859375
rollout/ep_len_mean,139264,170.30999755859375
rollout/ep_len_mean,141312,170.30999755859375
rollout/ep_len_mean,143360,170.30999755859375
rollout/ep_len_mean,145408,170.30999755859375
rollout/ep_len_mean,147456,170.30999755859375
rollout/ep_len_mean,149504,170.30999755859375
rollout/ep_len_mean,151552,170.30999755859375
rollout/ep_len_mean,153600,170.30999755859375
rollout/ep_len_mean,155648,170.30999755859375
rollout/ep_len_mean,157696,170.30999755859375
rollout/ep_len_mean,159744,170.30999755859375
rollout/ep_len_mean,161792,170.30999755859375
rollout/ep_len_mean,163840,170.30999755859375
rollout/ep_len_mean,165888,170.30999755859375
rollout/ep_len_mean,167936,170.30999755859375
rollout/ep_len_mean,169984,170.30999755859375
rollout/ep_len_mean,172032,170.30999755859375
rollout/ep_len_mean,174080,170.30999755859375
rollout/ep_len_mean,176128,170.30999755859375
rollout/ep_len_mean,178176,170.30999755859375
rollout/ep_len_mean,180224,170.30999755859375
rollout/ep_len_mean,182272,170.30999755859375
rollout/ep_len_mean,184320,170.30999755859375
rollout/ep_len_mean,186368,170.30999755859375
rollout/ep_len_mean,188416,170.30999755859375
rollout/ep_len_mean,190464,170.30999755859375
rollout/ep_len_mean,192512,170.30999755859375
rollout/ep_len_mean,194560,170.30999755859375
rollout/ep_len_mean,196608,170.30999755859375
rollout/ep_len_mean,198656,170.30999755859375
rollout/ep_len_mean,200704,170.30999755859375
rollout/ep_len_mean,202752,170.30999755859375
rollout/ep_len_mean,204800,170.30999755859375
rollout/ep_len_mean,206848,170.30999755859375
rollout/ep_len_mean,208896,170.30999755859375
rollout/ep_len_mean,210944,170.30999755859375
rollout/ep_len_mean,212992,170.30999755859375
rollout/ep_len_mean,215040,170.30999755859375
rollout/ep_len_mean,217088,170.30999755859375
rollout/ep_len_mean,219136,170.30999755859375
rollout/ep_len_mean,221184,170.30999755859375
rollout/ep_len_mean,223232,170.30999755859375
rollout/ep_len_mean,225280,170.30999755859375
rollout/ep_len_mean,227328,170.30999755859375
rollout/ep_len_mean,229376,170.30999755859375
rollout/ep_len_mean,231424,170.30999755859375
rollout/ep_len_mean,233472,170.30999755859375
rollout/ep_len_mean,235520,170.30999755859375
rollout/ep_len_mean,237568,170.30999755859375
rollout/ep_len_mean,239616,170.30999755859375
rollout/ep_len_mean,241664,170.30999755859375
rollout/ep_len_mean,243712,170.30999755859375
rollout/ep_len_mean,245760,170.30999755859375
