tag,points,first_step,last_step,first_value,last_value,min_value,max_value
rollout/ep_rew_mean,489,2048,1001472,-0.13163770735263824,379.372314453125,-0.13163770735263824,546.6064453125
rollout/ep_len_mean,489,2048,1001472,123.57142639160156,170.30999755859375,123.57142639160156,266.2699890136719
time/fps,489,2048,1001472,134.0,102.0,100.0,134.0
train/explained_variance,488,4096,1001472,-0.0004576444625854492,0.906607449054718,-1.338041067123413,0.9684687852859497
train/std,488,4096,1001472,1.002612829208374,0.3934136927127838,0.38176655769348145,1.2030792236328125
train/value_loss,488,4096,1001472,420.79986572265625,0.3023110628128052,0.08031459897756577,3676.483154296875
